ts_utc	model_alias	ctx_size	task	status	duration_s	prompt_chars	completion_chars	prompt_tokens	completion_tokens	total_tokens	port	gpu_layers	mem_limit	json_path	log_path	notes
2026-04-24T00:11:34Z	qwen35_9b_q8	76800	coding_api	ok	64	135467	1619	29791	384	30175	8163	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_9b_q8_ctx76800_coding_api.json	reports/publish/text_bench_2026-04-23/qwen35_9b_q8_ctx76800_coding_api.log	completed
2026-04-24T00:12:40Z	qwen35_9b_q8	76800	coding_review	ok	66	135431	1685	29784	384	30168	8163	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_9b_q8_ctx76800_coding_review.json	reports/publish/text_bench_2026-04-23/qwen35_9b_q8_ctx76800_coding_review.log	completed
2026-04-24T00:13:45Z	qwen35_9b_q8	76800	summary_report	ok	65	135382	1627	29780	340	30120	8163	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_9b_q8_ctx76800_summary_report.json	reports/publish/text_bench_2026-04-23/qwen35_9b_q8_ctx76800_summary_report.log	completed
2026-04-24T00:14:42Z	qwen35_9b_q8	76800	summary_plan	ok	57	135445	764	29791	185	29976	8163	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_9b_q8_ctx76800_summary_plan.json	reports/publish/text_bench_2026-04-23/qwen35_9b_q8_ctx76800_summary_plan.log	completed
2026-04-24T00:17:42Z	qwen35_27b_q8	16384	coding_api	ok	82	29134	1604	6413	384	6797	8164	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_27b_q8_ctx16384_coding_api.json	reports/publish/text_bench_2026-04-23/qwen35_27b_q8_ctx16384_coding_api.log	completed
2026-04-24T00:19:05Z	qwen35_27b_q8	16384	coding_review	ok	83	29098	1552	6406	384	6790	8164	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_27b_q8_ctx16384_coding_review.json	reports/publish/text_bench_2026-04-23/qwen35_27b_q8_ctx16384_coding_review.log	completed
2026-04-24T00:20:12Z	qwen35_27b_q8	16384	summary_report	ok	67	29049	1251	6402	272	6674	8164	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_27b_q8_ctx16384_summary_report.json	reports/publish/text_bench_2026-04-23/qwen35_27b_q8_ctx16384_summary_report.log	completed
2026-04-24T00:21:17Z	qwen35_27b_q8	16384	summary_plan	ok	64	29112	1046	6413	244	6657	8164	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_27b_q8_ctx16384_summary_plan.json	reports/publish/text_bench_2026-04-23/qwen35_27b_q8_ctx16384_summary_plan.log	completed
2026-04-24T00:24:17Z	qwen35_27b_q8	32768	coding_api	ok	109	57970	1620	12750	384	13134	8164	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_27b_q8_ctx32768_coding_api.json	reports/publish/text_bench_2026-04-23/qwen35_27b_q8_ctx32768_coding_api.log	completed
2026-04-24T00:25:48Z	qwen35_27b_q8	32768	coding_review	ok	91	57934	927	12743	246	12989	8164	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_27b_q8_ctx32768_coding_review.json	reports/publish/text_bench_2026-04-23/qwen35_27b_q8_ctx32768_coding_review.log	completed
2026-04-24T00:27:38Z	qwen35_27b_q8	32768	summary_report	ok	110	57885	1890	12739	384	13123	8164	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_27b_q8_ctx32768_summary_report.json	reports/publish/text_bench_2026-04-23/qwen35_27b_q8_ctx32768_summary_report.log	completed
2026-04-24T00:29:14Z	qwen35_27b_q8	32768	summary_plan	ok	96	57948	1263	12750	279	13029	8164	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_27b_q8_ctx32768_summary_plan.json	reports/publish/text_bench_2026-04-23/qwen35_27b_q8_ctx32768_summary_plan.log	completed
2026-04-24T00:32:41Z	qwen35_27b_q8	46080	coding_api	ok	136	81399	1637	17906	384	18290	8164	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_27b_q8_ctx46080_coding_api.json	reports/publish/text_bench_2026-04-23/qwen35_27b_q8_ctx46080_coding_api.log	completed
2026-04-24T00:34:59Z	qwen35_27b_q8	46080	coding_review	ok	138	81363	1529	17899	384	18283	8164	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_27b_q8_ctx46080_coding_review.json	reports/publish/text_bench_2026-04-23/qwen35_27b_q8_ctx46080_coding_review.log	completed
2026-04-24T00:37:15Z	qwen35_27b_q8	46080	summary_report	ok	136	81314	1798	17895	369	18264	8164	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_27b_q8_ctx46080_summary_report.json	reports/publish/text_bench_2026-04-23/qwen35_27b_q8_ctx46080_summary_report.log	completed
2026-04-24T00:39:10Z	qwen35_27b_q8	46080	summary_plan	ok	115	81377	947	17906	215	18121	8164	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_27b_q8_ctx46080_summary_plan.json	reports/publish/text_bench_2026-04-23/qwen35_27b_q8_ctx46080_summary_plan.log	completed
2026-04-24T00:43:20Z	qwen35_27b_q8	65536	coding_api	ok	185	115642	1842	25432	384	25816	8164	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_27b_q8_ctx65536_coding_api.json	reports/publish/text_bench_2026-04-23/qwen35_27b_q8_ctx65536_coding_api.log	completed
2026-04-24T00:46:27Z	qwen35_27b_q8	65536	coding_review	ok	186	115606	1408	25425	384	25809	8164	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_27b_q8_ctx65536_coding_review.json	reports/publish/text_bench_2026-04-23/qwen35_27b_q8_ctx65536_coding_review.log	completed
2026-04-24T00:49:19Z	qwen35_27b_q8	65536	summary_report	ok	172	115557	1310	25421	277	25698	8164	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_27b_q8_ctx65536_summary_report.json	reports/publish/text_bench_2026-04-23/qwen35_27b_q8_ctx65536_summary_report.log	completed
2026-04-24T00:52:10Z	qwen35_27b_q8	65536	summary_plan	ok	171	115620	1144	25432	264	25696	8164	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_27b_q8_ctx65536_summary_plan.json	reports/publish/text_bench_2026-04-23/qwen35_27b_q8_ctx65536_summary_plan.log	completed
2026-04-24T00:56:55Z	qwen35_27b_q8	76800	coding_api	ok	218	135467	1707	29791	384	30175	8164	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_27b_q8_ctx76800_coding_api.json	reports/publish/text_bench_2026-04-23/qwen35_27b_q8_ctx76800_coding_api.log	completed
2026-04-24T01:00:36Z	qwen35_27b_q8	76800	coding_review	ok	221	135431	1575	29784	384	30168	8164	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_27b_q8_ctx76800_coding_review.json	reports/publish/text_bench_2026-04-23/qwen35_27b_q8_ctx76800_coding_review.log	completed
2026-04-24T01:04:11Z	qwen35_27b_q8	76800	summary_report	ok	215	135382	1630	29780	332	30112	8164	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_27b_q8_ctx76800_summary_report.json	reports/publish/text_bench_2026-04-23/qwen35_27b_q8_ctx76800_summary_report.log	completed
2026-04-24T01:07:33Z	qwen35_27b_q8	76800	summary_plan	ok	202	135445	1083	29791	238	30029	8164	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen35_27b_q8_ctx76800_summary_plan.json	reports/publish/text_bench_2026-04-23/qwen35_27b_q8_ctx76800_summary_plan.log	completed
2026-04-24T01:09:21Z	gemma4_26b_a4b_q4km	16384	coding_api	ok	15	29134	1654	6921	384	7305	8166	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/gemma4_26b_a4b_q4km_ctx16384_coding_api.json	reports/publish/text_bench_2026-04-23/gemma4_26b_a4b_q4km_ctx16384_coding_api.log	completed
2026-04-24T01:09:36Z	gemma4_26b_a4b_q4km	16384	coding_review	ok	15	29098	1677	6914	384	7298	8166	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/gemma4_26b_a4b_q4km_ctx16384_coding_review.json	reports/publish/text_bench_2026-04-23/gemma4_26b_a4b_q4km_ctx16384_coding_review.log	completed
2026-04-24T01:09:50Z	gemma4_26b_a4b_q4km	16384	summary_report	ok	14	29049	1652	6909	338	7247	8166	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/gemma4_26b_a4b_q4km_ctx16384_summary_report.json	reports/publish/text_bench_2026-04-23/gemma4_26b_a4b_q4km_ctx16384_summary_report.log	completed
2026-04-24T01:10:04Z	gemma4_26b_a4b_q4km	16384	summary_plan	ok	14	29112	1416	6920	297	7217	8166	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/gemma4_26b_a4b_q4km_ctx16384_summary_plan.json	reports/publish/text_bench_2026-04-23/gemma4_26b_a4b_q4km_ctx16384_summary_plan.log	completed
2026-04-24T01:11:33Z	gemma4_26b_a4b_q4km	32768	coding_api	ok	23	57970	1756	13765	384	14149	8166	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/gemma4_26b_a4b_q4km_ctx32768_coding_api.json	reports/publish/text_bench_2026-04-23/gemma4_26b_a4b_q4km_ctx32768_coding_api.log	completed
2026-04-24T01:11:57Z	gemma4_26b_a4b_q4km	32768	coding_review	ok	24	57934	1679	13758	384	14142	8166	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/gemma4_26b_a4b_q4km_ctx32768_coding_review.json	reports/publish/text_bench_2026-04-23/gemma4_26b_a4b_q4km_ctx32768_coding_review.log	completed
2026-04-24T01:12:20Z	gemma4_26b_a4b_q4km	32768	summary_report	ok	23	57885	1757	13753	353	14106	8166	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/gemma4_26b_a4b_q4km_ctx32768_summary_report.json	reports/publish/text_bench_2026-04-23/gemma4_26b_a4b_q4km_ctx32768_summary_report.log	completed
2026-04-24T01:12:43Z	gemma4_26b_a4b_q4km	32768	summary_plan	ok	22	57948	1394	13764	305	14069	8166	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/gemma4_26b_a4b_q4km_ctx32768_summary_plan.json	reports/publish/text_bench_2026-04-23/gemma4_26b_a4b_q4km_ctx32768_summary_plan.log	completed
2026-04-24T01:14:21Z	gemma4_26b_a4b_q4km	46080	coding_api	ok	31	81399	1692	19332	384	19716	8166	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/gemma4_26b_a4b_q4km_ctx46080_coding_api.json	reports/publish/text_bench_2026-04-23/gemma4_26b_a4b_q4km_ctx46080_coding_api.log	completed
2026-04-24T01:14:53Z	gemma4_26b_a4b_q4km	46080	coding_review	ok	32	81363	1673	19325	384	19709	8166	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/gemma4_26b_a4b_q4km_ctx46080_coding_review.json	reports/publish/text_bench_2026-04-23/gemma4_26b_a4b_q4km_ctx46080_coding_review.log	completed
2026-04-24T01:15:24Z	gemma4_26b_a4b_q4km	46080	summary_report	ok	31	81314	1466	19320	296	19616	8166	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/gemma4_26b_a4b_q4km_ctx46080_summary_report.json	reports/publish/text_bench_2026-04-23/gemma4_26b_a4b_q4km_ctx46080_summary_report.log	completed
2026-04-24T01:15:54Z	gemma4_26b_a4b_q4km	46080	summary_plan	ok	30	81377	1392	19331	293	19624	8166	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/gemma4_26b_a4b_q4km_ctx46080_summary_plan.json	reports/publish/text_bench_2026-04-23/gemma4_26b_a4b_q4km_ctx46080_summary_plan.log	completed
2026-04-24T01:17:46Z	gemma4_26b_a4b_q4km	65536	coding_api	ok	45	115642	1722	27457	384	27841	8166	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/gemma4_26b_a4b_q4km_ctx65536_coding_api.json	reports/publish/text_bench_2026-04-23/gemma4_26b_a4b_q4km_ctx65536_coding_api.log	completed
2026-04-24T01:18:31Z	gemma4_26b_a4b_q4km	65536	coding_review	ok	45	115606	1662	27450	384	27834	8166	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/gemma4_26b_a4b_q4km_ctx65536_coding_review.json	reports/publish/text_bench_2026-04-23/gemma4_26b_a4b_q4km_ctx65536_coding_review.log	completed
2026-04-24T01:19:15Z	gemma4_26b_a4b_q4km	65536	summary_report	ok	44	115557	1500	27445	295	27740	8166	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/gemma4_26b_a4b_q4km_ctx65536_summary_report.json	reports/publish/text_bench_2026-04-23/gemma4_26b_a4b_q4km_ctx65536_summary_report.log	completed
2026-04-24T01:19:59Z	gemma4_26b_a4b_q4km	65536	summary_plan	ok	44	115620	1340	27456	285	27741	8166	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/gemma4_26b_a4b_q4km_ctx65536_summary_plan.json	reports/publish/text_bench_2026-04-23/gemma4_26b_a4b_q4km_ctx65536_summary_plan.log	completed
2026-04-24T01:21:59Z	gemma4_26b_a4b_q4km	76800	coding_api	ok	54	135467	1659	32161	384	32545	8166	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/gemma4_26b_a4b_q4km_ctx76800_coding_api.json	reports/publish/text_bench_2026-04-23/gemma4_26b_a4b_q4km_ctx76800_coding_api.log	completed
2026-04-24T01:22:53Z	gemma4_26b_a4b_q4km	76800	coding_review	ok	54	135431	1681	32154	384	32538	8166	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/gemma4_26b_a4b_q4km_ctx76800_coding_review.json	reports/publish/text_bench_2026-04-23/gemma4_26b_a4b_q4km_ctx76800_coding_review.log	completed
2026-04-24T01:23:46Z	gemma4_26b_a4b_q4km	76800	summary_report	ok	53	135382	1606	32149	317	32466	8166	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/gemma4_26b_a4b_q4km_ctx76800_summary_report.json	reports/publish/text_bench_2026-04-23/gemma4_26b_a4b_q4km_ctx76800_summary_report.log	completed
2026-04-24T01:24:39Z	gemma4_26b_a4b_q4km	76800	summary_plan	ok	53	135445	1515	32160	333	32493	8166	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/gemma4_26b_a4b_q4km_ctx76800_summary_plan.json	reports/publish/text_bench_2026-04-23/gemma4_26b_a4b_q4km_ctx76800_summary_plan.log	completed
2026-04-24T01:40:35Z	qwen25_coder_32b_q4km_gpu_unsafe	16384	warmup	unsafe-gpu-reset	0	0	0				8169	999	75g		reports/research/qwen25_coder_32b_full_vulkan_freeze_2026-04-24.txt	AMDGPU ring timeout and failed reset during full-Vulkan warmup; switched to CPU/no-DRI fallback
2026-04-24T01:51:31Z	qwen25_coder_32b_q4km_cpu	16384	coding_api	ok	480	29134	1902	6019	384	6403	8169	0	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen25_coder_32b_q4km_cpu_ctx16384_coding_api.json	reports/publish/text_bench_2026-04-23/qwen25_coder_32b_q4km_cpu_ctx16384_coding_api.log	completed
2026-04-24T01:59:17Z	qwen25_coder_32b_q4km_cpu	16384	summary_report	ok	466	29049	1453	6007	290	6297	8169	0	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen25_coder_32b_q4km_cpu_ctx16384_summary_report.json	reports/publish/text_bench_2026-04-23/qwen25_coder_32b_q4km_cpu_ctx16384_summary_report.log	completed
2026-04-24T02:02:28Z	qwen3_next_80b_a3b_q5km	16384	coding_api	ok	19	29134	2029	6019	384	6403	8167	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen3_next_80b_a3b_q5km_ctx16384_coding_api.json	reports/publish/text_bench_2026-04-23/qwen3_next_80b_a3b_q5km_ctx16384_coding_api.log	completed
2026-04-24T02:02:46Z	qwen3_next_80b_a3b_q5km	16384	coding_review	ok	18	29098	1656	6011	384	6395	8167	999	75g	llama-cpp-vulkan/out/text-bench-2026-04-23/qwen3_next_80b_a3b_q5km_ctx16384_coding_review.json	reports/publish/text_bench_2026-04-23/qwen3_next_80b_a3b_q5km_ctx16384_coding_review.log	completed
